Symbol,MeanDailyReturn,VolDaily,RetAnual,VolAnual,Sharpe,Sortino,Calmar,MaxDrawdown,Skewness,Kurtosis,RetMensual,RetSemanal,VolumenMedio,Alpha,Beta,Count,MeanReturn,StdReturn,AutocorrLag1,AutocorrLag5,AutocorrLag10,AutocorrLag15
MAR,0.0004524288711350453,0.021252088962563295,0.11401207552603142,0.33736645341337895,0.2786645636364958,0.3706950799849336,0.1501729718388074,-0.7592050295735616,-0.1275703331466025,8.484533939330637,0.009501006293835951,0.0022621443556752265,2797617.93703125,0.05353388283013775,1.1384580414676004,6400,0.0006783166657244689,0.021263476400581214,-0.009378578445207798,-0.03736283278486415,0.005436418110532774,-0.027426625734619316
MCD,0.0003145550617955048,0.014410856404195168,0.07926787557246721,0.22876525334977751,0.2590772624103356,0.34120080226204286,0.11158056242090793,-0.7104093567251462,-0.18941580008029807,12.456868906908202,0.006605656297705601,0.001572775308977524,5406310.375,0.038217479846217,0.5920469935668817,6400,0.0004183905645333912,0.014408749330206408,-0.04769175929026471,0.01740364098629107,-0.029357982404532385,-0.023875590247084123
MCHP,0.00030104470328554144,0.027250059414736277,0.07586326522795644,0.432581282538759,0.12913934902615934,0.17437161437527482,0.11765606013296005,-0.6447884209468288,0.0418047624603095,6.9316020997220775,0.00632193876899637,0.0015052235164277072,5491247.3125,0.006939336016094859,1.3759962320917982,6400,0.0006727963904393471,0.027330261220800647,-0.07500870674199435,-0.003954253230408284,0.004508635699325291,-0.003795047818971566
MMM,0.0002000462633476263,0.015567177810146373,0.05041165836360183,0.24712128660462224,0.12306369387052632,0.16412827408775607,0.07535090567243827,-0.669025248120426,0.14155750030295244,11.377214435711782,0.004200971530300152,0.0010002313167381315,4102384.50203125,0.0009500917648792921,0.8286130178917667,6400,0.0003213646468828026,0.01560317913486558,-0.03898117827609678,-0.017024417926586363,-0.0074386985553760495,-0.01617042124040028
MRK,3.522662577137015e-05,0.01673286360565024,0.008877109694385278,0.26562597493508455,-0.04187425686939317,-0.05170114250388423,0.011399004124605629,-0.7787618635230908,-1.280237376378423,26.139328692412064,0.0007397591411987731,0.00017613312885685076,11686186.7315625,-0.03435064473280692,0.6532856842581862,6400,0.00017429673030493293,0.016589639698973042,-0.018612020083705813,0.009179668139291443,-0.006291433948518989,-0.04858404784881977
MS,9.586088822444165e-05,0.02894321143291587,0.024156943832559296,0.4594592375703409,0.009047470357852777,0.011612179553351608,0.026375500191526558,-0.9158857142857143,1.1723196400132374,48.54105396873915,0.0020130786527132747,0.00047930444112220826,11825907.078125,-0.057050596219727745,1.721475479265786,6400,0.0005210702635158056,0.02986301369418098,-0.0062230727296998705,-0.037253607169050316,-0.0022035929134547124,-0.0014996157859020222
MSFT,0.0003268329374830794,0.01907005922612191,0.082361900245736,0.3027278051975486,0.20599990874654217,0.2705805058702088,0.11122905556610385,-0.7404710920770878,-0.14740691192036717,9.271435864494476,0.006863491687144667,0.001634164687415397,49528861.71875,0.023433546621895816,1.0948684778767592,6400,0.0005086481070589807,0.019073414626377794,-0.07357602068436314,0.014727268475918986,-0.003983003773906245,-0.017638720794253326
MU,0.00017013374759537901,0.03518485637014167,0.04287370439403551,0.5585422792255298,0.040952503050891695,0.05683969370666498,0.043637430030293856,-0.9824983818770227,-0.17835940907889306,4.373961422959843,0.0035728086995029593,0.000850668737976895,22076891.3125,-0.035343492043871064,1.637371409696294,6400,0.0007883169149268679,0.03516752451855793,0.012262312389901348,0.006371431017453778,0.010397498461126314,-0.010481306818386797
NKE,0.0003627267222280722,0.019605803902279357,0.0914071340014742,0.31123248827358524,0.2294334193630345,0.2959285793225665,0.13059948773826213,-0.6999042307475635,-0.5318968953646209,13.433830457020106,0.007617261166789516,0.0018136336111403612,10527853.65625,0.03917547723840475,0.9065224109045381,6400,0.000554457309696445,0.019544456703991547,-0.02107119850700344,-0.005287160467777527,0.03098292859799597,-0.027610838591810787
NVDA,0.0011386913289288805,0.037358605669351085,0.2869502148900779,0.5930494795753841,0.45013143773637726,0.5992211410760249,0.31980874378647994,-0.8972556894243642,-0.20784444936834587,12.779803194985574,0.02391251790750649,0.0056934566446444025,607695669.5625,0.20784335923680514,1.6623932701214545,6400,0.0018373073674727396,0.03748114245052392,-0.006661956649443899,-0.020951183536444973,0.007185702722772467,-0.023187350065868678
ORCL,0.0002875260604116493,0.023789881478139367,0.07245656722373563,0.37765266066515074,0.1389016222773199,0.179664307450193,0.0860587233326731,-0.8419433198380567,0.023427537801812087,9.588892800225823,0.006038047268644635,0.0014376303020582465,27060148.40625,0.01040519667325376,1.182704013432558,6400,0.0005708041089976027,0.02385101592287242,-0.08313849340193813,-0.017331460803621256,0.01533475773763347,-0.00742553940536045
ORLY,0.00033208548534072787,0.03941386850901376,0.08368554230586342,0.6256757656911033,0.10178681323147978,0.07786988749844692,0.08924841430982429,-0.9376697945058222,-50.234528012277664,3441.079490691994,0.006973795192155285,0.0016604274267036393,872097.9375,0.035743815315116466,0.7858671958033152,6400,0.0008157078437819,0.023498125316172624,-0.012685765301705856,0.005531718189372989,-0.0019538632652226135,-0.004749435636963717
PEP,0.00020382862860107324,0.012597580669843768,0.051364814407470455,0.19998039344088656,0.15683944744684072,0.20627572405554467,0.12106333774888697,-0.4242805077290436,-0.14543428834216046,14.260815685326952,0.004280401200622538,0.0010191431430053661,5266306.5,0.012996106679482339,0.5166239308509827,6400,0.0002831723292178459,0.012598405031263598,-0.09745979678516178,-0.002103823592396257,-0.007496023033027195,-0.045463257470302415
PFE,-3.576585569319826e-05,0.01594475900491784,-0.009012995634685961,0.25311520225122186,-0.11462367877015142,-0.1589721186335524,-0.01182743562419331,-0.7620414028083701,-0.15317875588821106,4.97493726100603,-0.0007510829695571634,-0.0001788292784659913,32477742.26625,-0.05346754875205761,0.6877896663057442,6400,9.124598625876995e-05,0.015933569066554312,-0.03358315109806763,0.0052828816932958085,-0.00663079442857223,-0.03953701160146705
PG,0.00016954649910195984,0.013414400798032642,0.04272571777369388,0.21294701099124452,0.10672005992433614,0.12280486905100052,0.07845541158444375,-0.5445859872611465,-3.1953433362520482,87.99020475452816,0.0035604764811411568,0.0008477324955097992,8995511.5,0.0046641728120928455,0.5079849107232809,6400,0.00025836519687371713,0.013183057789491604,-0.058237912225783645,0.01656082032178859,0.000837570377228959,-0.05869312449440525
QCOM,9.280695934587499e-05,0.026524585090855993,0.023387353755160496,0.42106473467745925,0.008044733923764128,0.010625288556566933,0.026957944410004226,-0.8675495950084879,-0.05083662690571812,6.581910759541911,0.0019489461462633747,0.00046403479672937496,16174283.890625,-0.04202107141044608,1.2771219102726594,6400,0.0004446053792125831,0.026559135047987955,-0.06968385139152133,-0.024503300043875145,0.004532747628967814,-0.011591690610536718
REGN,0.00057909073316145,0.03604121577362101,0.1459308647566854,0.5721365633125175,0.22010630473881868,0.29337236897500557,0.15895688950747494,-0.9180530973451327,-0.7232717303843913,62.06192601454129,0.012160905396390451,0.00289545366580725,708217.8125,0.08562573039303674,1.1335907379427748,6400,0.0012275842615735372,0.036350792470620494,-0.0021346062360258675,-0.001097934909785883,-0.03107423512236204,-0.00783904864019583
SBUX,0.0005389928380113851,0.021120221824387757,0.13582619517886904,0.33527312749109334,0.34546817409917835,0.4749270949682523,0.1658284693449963,-0.8190764572293717,0.17990968330743182,10.016899086284326,0.011318849598239087,0.0026949641900569253,13675963.4375,0.079182119531595,1.0306226591242635,6400,0.0007626460279132921,0.021206438558863956,-0.08217863177822983,-0.01794204386748605,-4.435860307728233e-05,-0.017111888619987466
T,-4.090832526303571e-05,0.01633335849657957,-0.010308897966284999,0.2592840279384802,-0.11689458161871943,-0.15396442163633187,-0.014820296555045218,-0.695593231079818,-0.08016826847561384,7.181348517295307,-0.00085907483052375,-0.00020454162631517857,32312867.40375,-0.055708371309958093,0.7143657547754106,6400,9.242752566978159e-05,0.016334434065112226,-0.01262717552409681,-0.005815058556583224,-0.0017323778461243518,-0.006084561122430931
TXN,0.00022176525046220646,0.023777898970802843,0.05588484311647603,0.37746244425817804,0.0950686450065252,0.1307657566585837,0.06505999249048376,-0.8589740173217855,0.12255243343945715,5.931674149725104,0.0046570702597063356,0.0011088262523110323,9518776.609375,-0.0076328862536540094,1.2239456766275338,6400,0.0005048965184239491,0.023851407532434966,-0.032239595742995904,0.02508197269318976,0.014976486319640185,-0.00032174319577681613
VRTX,0.0005082753987707001,0.03302547672204079,0.12808540049021644,0.5242631900152354,0.20616629690723745,0.28138194675061023,0.1395664447918605,-0.9177377892030848,0.5977642044583977,24.695522279080237,0.010673783374184703,0.002541376993853501,1664005.515625,0.06910765566043217,1.0962576163693614,6400,0.0010589387462608614,0.03367067236388117,-0.003031251240858687,0.010024190654490225,-0.0244958925070206,-0.003197789073087307
WMT,0.00022268433616953585,0.014784486904005467,0.056116452714723035,0.23469645365813843,0.15388580505494423,0.2069924076486101,0.14444390099275375,-0.38849998047019096,0.04333983165273759,8.400596537330403,0.004676371059560253,0.0011134216808476793,30850291.171875,0.014586265620871,0.6055412309399956,6400,0.0003320529334931697,0.014802850664562798,-0.03706436807050222,-0.029180285682265432,-0.0006187506916513428,-0.02201746336707277
XOM,0.00015600922385362547,0.016646732761353696,0.03931432441111362,0.2642586901697605,0.07308870107055343,0.0992023084329315,0.056268054052269846,-0.6986970684039088,-0.07465018206227556,8.495444169592833,0.003276193700926135,0.0007800461192681273,17858369.734375,-0.01047993024373828,0.8379699423880312,6400,0.0002945576100695746,0.016653902508427285,-0.07275855134128238,0.005972171967315609,0.011288129022656766,-0.015890834660129558
^GSPC,0.00022045745426381666,0.012305978017307352,0.0555552784744818,0.19535134483933775,0.18200682725641548,0.22614575069627352,0.09785098704095696,-0.5677538894035716,-0.34320445696894214,10.511814324407913,0.00462960653954015,0.0011022872713190833,3379880104.6875,,,6400,0.00029611145501328416,0.012289757379348593,-0.09947247915353352,-0.011977991757767105,-0.0019777547154845115,-0.05819974476101621
